year,general_role,experience_level,company_size,company_location,predicted_salary_usd
2020,Computer Vision Engineer,Entry,Small,United States,90823.57
2020,Computer Vision Engineer,Entry,Small,Australia,74819.29
2020,Computer Vision Engineer,Entry,Small,Netherlands,67609.04
2020,Computer Vision Engineer,Entry,Small,United Kingdom,69545.42
2020,Computer Vision Engineer,Entry,Small,Canada,73083.336
2020,Computer Vision Engineer,Entry,Small,Italy,55874.215
2020,Computer Vision Engineer,Entry,Small,Singapore,79273.58
2020,Computer Vision Engineer,Entry,Small,Germany,65987.336
2020,Computer Vision Engineer,Entry,Small,Finland,46225.035
2020,Computer Vision Engineer,Entry,Medium,United States,91914.78
2020,Computer Vision Engineer,Entry,Medium,Australia,75287.02
2020,Computer Vision Engineer,Entry,Medium,Netherlands,67627.73
2020,Computer Vision Engineer,Entry,Medium,United Kingdom,69653.12
2020,Computer Vision Engineer,Entry,Medium,Canada,75155.22
2020,Computer Vision Engineer,Entry,Medium,Italy,55981.906
2020,Computer Vision Engineer,Entry,Medium,Singapore,78029.52
2020,Computer Vision Engineer,Entry,Medium,Germany,65855.13
2020,Computer Vision Engineer,Entry,Medium,Finland,46332.727
2020,Computer Vision Engineer,Entry,Large,United States,91102.25
2020,Computer Vision Engineer,Entry,Large,Australia,74819.29
2020,Computer Vision Engineer,Entry,Large,Netherlands,67609.04
2020,Computer Vision Engineer,Entry,Large,United Kingdom,69545.42
2020,Computer Vision Engineer,Entry,Large,Canada,73083.336
2020,Computer Vision Engineer,Entry,Large,Italy,56781.0
2020,Computer Vision Engineer,Entry,Large,Singapore,78963.3
2020,Computer Vision Engineer,Entry,Large,Germany,65760.91
2020,Computer Vision Engineer,Entry,Large,Finland,46225.035
2020,Computer Vision Engineer,Entry,Enterprise,United States,90823.57
2020,Computer Vision Engineer,Entry,Enterprise,Australia,74819.29
2020,Computer Vision Engineer,Entry,Enterprise,Netherlands,67609.04
2020,Computer Vision Engineer,Entry,Enterprise,United Kingdom,69545.42
